公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 876 家
3033,威健,37126.55,5.42,1.73,1.56,1.19,
3034,聯詠,35122.84,28.60,11.92,12.50,10.56,
3035,智原,4211.93,48.21,6.50,6.79,18.87,
3036,文曄科技,129574.83,4.60,2.19,1.73,1.40,
3037,欣興電子,46129.00,8.16,-1.14,-0.26,-0.58,
3038,全台,2242.90,17.26,3.86,2.05,1.28,
3040,遠見,131.76,61.89,21.79,583.93,522.88,
3041,揚智,2511.74,28.50,-17.12,-15.35,-12.69,
3042,晶技,6513.01,25.36,9.26,12.48,10.84,
3043,科風,879.04,24.74,3.91,-8.90,-9.01,
3044,健鼎科技,33222.47,17.97,10.17,12.31,9.78,
3045,台灣大,85407.66,31.67,17.32,16.92,14.39,
3046,建碁,1022.69,30.87,-12.06,-7.74,-8.49,
3047,訊舟科技,4173.36,25.97,0.22,-0.88,-1.55,
3048,益登,55334.23,3.29,1.17,0.61,0.49,
3049,和鑫,2192.07,16.48,7.79,-4.01,-4.01,
3050,鈺德科技,612.84,30.42,4.76,27.81,24.73,
3051,力特光電,1721.77,25.70,12.32,-4.43,-5.27,
3052,夆典,2794.49,5.45,1.43,0.93,0.70,
3054,立萬利,269.36,-4.20,-25.58,22.74,21.89,
3055,蔚華科技,1916.43,21.39,0.80,2.18,1.39,
3056,總太地產,3129.88,33.07,28.15,28.20,24.96,
3057,喬鼎資訊,1426.92,38.41,-19.72,-19.79,-19.66,
3058,立德電子,3885.95,12.48,-1.49,-0.85,-0.92,
3059,華晶科技,7769.10,13.76,0.92,0.57,0.06,
3060,銘異,5647.43,9.08,-0.11,1.38,0.99,
3062,建漢科技,6487.00,7.20,0.81,2.01,1.48,
3090,日電貿,6246.31,15.44,6.27,7.63,6.49,
3094,聯傑國際,236.12,68.78,18.81,20.82,18.49,
3130,一零四,1156.46,90.73,24.42,25.95,21.77,
3149,正達國際,2479.56,-7.16,-18.34,1.29,1.29,
3164,景岳生技,436.45,60.02,9.30,10.43,14.07,
3167,大量科技,2523.62,28.09,13.74,13.06,9.68,
3189,景碩科技,16042.49,19.75,2.92,3.12,2.12,
3209,全科,23915.35,3.74,0.75,0.88,0.70,
