公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1326,台化,,,,3669057.0,,1809237,,--,--,,,,,,,23087942,--,2389495,2.22,,,,,16133658.0,14324421.0,14324421.0,,--,25477437.0,--,98956552.0,83205670.0,--,--,15750882.0,--,--,15750882.0,--,12081825.0,4051833.0,11153016,12974359,1350062,,,,,,,,,,,
1337,再生-KY,,,,99500.0,,0,,--,--,,,,,,,35550,--,--,-0.51,,,,,-137264.0,-137264.0,-137264.0,,--,35550.0,--,343807.0,386350.0,--,--,-42543.0,--,--,-42543.0,--,-142043.0,4779.0,172814,-137264,--,,,,,,,,,,,
1338,廣華-KY,,,,297655.0,,43327,,--,--,,,,,,,317749,--,8162,2.26,,,,,226354.0,183027.0,183027.0,,--,325911.0,--,1987165.0,1485360.0,--,--,501805.0,--,--,501805.0,--,204150.0,22204.0,142884,189612,-6585,,,,,,,,,,,
1339,昭輝,,,,101540.0,,11444,,--,--,,,,,,,61729,--,1031,0.75,,,,,63751.0,52307.0,52307.0,,--,62760.0,--,722810.0,505852.0,--,--,216958.0,--,--,216958.0,--,115418.0,-51667.0,10453,55843,-3536,,,,,,,,,,,
1340,勝悅-KY,,,,61033.0,,15800,,--,--,,,,,,,192428,--,--,0.58,,,,,89308.0,73508.0,73508.0,,--,192428.0,--,490794.0,350479.0,--,--,140315.0,--,--,140315.0,--,79282.0,10026.0,118920,73508,--,,,,,,,,,,,
1402,遠東新,,,,7274349.0,,525575,,--,--,,,,,,,2730233,--,1682193,0.49,,,,,4627943.0,4102368.0,4102368.0,,--,4412426.0,--,51457884.0,40691833.0,--,--,10766051.0,--,--,10766051.0,--,3491702.0,1136241.0,310058,2469446,1632922,,,,,,,,,,,
1410,南染,,,,20044.0,,5314,,--,--,,,,,,,16767,--,1390,0.25,,,,,24846.0,19532.0,19532.0,,--,18157.0,--,122940.0,75115.0,--,--,47825.0,--,--,47825.0,--,27781.0,-2935.0,-1375,18142,1390,,,,,,,,,,,
1413,宏洲纖維,,,,22323.0,,0,,--,--,,,,,,,--,--,--,0.39,,,,,51413.0,51413.0,51413.0,,--,52129.0,--,901228.0,825495.0,--,--,75733.0,--,--,75733.0,--,53410.0,-1997.0,716,--,--,,,,,,,,,,,
1414,東和,,,,19484.0,,-2579,,--,--,,,,,,,--,--,--,0.02,,,,,2877.0,5456.0,5456.0,,--,21717.0,--,261472.0,236287.0,--,--,25185.0,--,--,25185.0,--,5701.0,-2824.0,16261,--,--,,,,,,,,,,,
1416,廣豐,,,,75938.0,,14884,,--,--,,,,,,,34536,--,0,0.44,,,,,96324.0,81440.0,81440.0,,--,34536.0,--,56620.0,348.0,--,--,56272.0,--,--,56272.0,--,-19666.0,115990.0,-46904,81440,0,,,,,,,,,,,
