公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1337,再生-KY,,,,476404.0,,,,--,--,,,,,,,78819,--,--,0.68,,,,,261906.0,,182353.0,182353.0,,--,78819.0,--,4588271.0,3896906.0,--,--,691365.0,--,--,691365.0,--,214961.0,46945.0,79553,-103534,182353,--,,,,,,,,,,,
1338,廣華-KY,,,,1183313.0,,,,--,--,,,,,,,607994,--,-50351,9.25,,,,,976151.0,,741761.0,741761.0,,--,557643.0,--,7967359.0,5863032.0,--,--,2104327.0,--,--,2104327.0,--,921014.0,55137.0,234390,-184118,775533,-33772,,,,,,,,,,,
1339,昭輝,,,,370499.0,,,,--,--,,,,,,,273031,--,-27293,3.72,,,,,343600.0,,263920.0,263920.0,,--,245738.0,--,2837280.0,1958725.0,--,--,878555.0,--,--,878555.0,--,508056.0,-164456.0,79680,-18182,275739,-11819,,,,,,,,,,,
1340,勝悅-KY,,,,195516.0,,,,--,--,,,,,,,774650,--,--,6.61,,,,,1001773.0,,835167.0,835167.0,,--,774650.0,--,3406504.0,2235052.0,--,--,1171452.0,--,--,1171452.0,--,975936.0,25837.0,166606,-60517,835167,--,,,,,,,,,,,
1341,富林-KY,,,,249918.0,,,,--,--,,,,,,,221888,--,--,6.88,,,,,331005.0,,255368.0,255368.0,,--,221888.0,--,2762409.0,2164393.0,--,--,598016.0,--,--,598016.0,--,348098.0,-17093.0,75637,-33480,255368,--,,,,,,,,,,,
1402,遠東新,,,,34264491.0,,,,--,--,,,,,,,7808712,--,6294964,1.61,,,,,16892291.0,,14201337.0,14201337.0,,--,14103676.0,--,217846948.0,168148743.0,--,--,49698205.0,--,555,49698760.0,--,15434269.0,1458022.0,2690954,-97661,8066136,6135201,,,,,,,,,,,
1410,南染,,,,78051.0,,,,--,--,,,,,,,96931,--,9536,1.28,,,,,124907.0,,102005.0,102005.0,,--,106467.0,--,533252.0,331894.0,--,--,201358.0,--,--,201358.0,--,123307.0,1600.0,22902,4462,92434,9571,,,,,,,,,,,
1413,宏洲纖維,,,,68080.0,,,,--,--,,,,,,,--,--,--,0.88,,,,,116562.0,,116562.0,116562.0,,--,116562.0,--,3144143.0,2953791.0,--,--,190352.0,--,--,190352.0,--,122272.0,-5710.0,0,0,--,--,,,,,,,,,,,
1414,東和,,,,84531.0,,,,--,--,,,,,,,--,--,--,0.41,,,,,91351.0,,89638.0,89638.0,,--,127003.0,--,793069.0,750906.0,--,--,42163.0,--,--,42163.0,--,-42368.0,133719.0,1713,37365,--,--,,,,,,,,,,,
1416,廣豐,,,,558575.0,,,,--,--,,,,,,,36734,--,-512,1.13,,,,,245654.0,,222728.0,222728.0,,--,36222.0,--,2246108.0,1558968.0,--,--,687140.0,--,--,687140.0,--,128565.0,117089.0,22926,-186506,223240,-512,,,,,,,,,,,
